feature,imp
Z_score_p12S_Falcon_Churn,0
Z_score_p14S_Falcon_Churn,0
Z_score_p15S_Falcon_Churn,0
Z_score_p16S_Falcon_Churn,0
Z_score_p17S_Falcon_Churn,0
Z_score_p1_Falcon_Churn,0
Z_score_p2_Falcon_Churn,0
Z_score_p13S_Falcon_Churn,0
Z_score_p5S_Falcon_Churn,0
Z_score_p3N_Falcon_Churn,0
Z_score_p5N_Falcon_Churn,0
Z_score_p1_Tortoise_ARPEU_inv,0
Z_score_p17S_Tortoise_ARPEU_inv,0
Z_score_p16S_Tortoise_ARPEU_inv,0
Z_score_p15S_Tortoise_ARPEU_inv,0
Z_score_p14S_Tortoise_ARPEU_inv,0
Z_score_p13S_Tortoise_ARPEU_inv,0
Z_score_p12S_Tortoise_ARPEU_inv,0
Z_score_p11S_Tortoise_ARPEU_inv,0
Z_score_p10S_Tortoise_ARPEU_inv,0
Z_score_p9S_Tortoise_ARPEU_inv,0
Z_score_p8S_Tortoise_ARPEU_inv,0
Z_score_p7S_Tortoise_ARPEU_inv,0
Z_score_p6S_Tortoise_ARPEU_inv,0
Z_score_p5S_Tortoise_ARPEU_inv,0
Z_score_p4S_Tortoise_ARPEU_inv,0
Z_score_p3S_Tortoise_ARPEU_inv,0
Z_score_p2S_Tortoise_ARPEU_inv,0
Z_score_p6N_Falcon_Churn,0
Z_score_p7N_Falcon_Churn,0
Z_score_p8N_Falcon_Churn,0
Z_score_p9N_Falcon_Churn,0
Z_score_p10N_Falcon_Churn,0
Z_score_p11N_Falcon_Churn,0
Z_score_p4N_Falcon_Churn,0
Z_score_p12N_Falcon_Churn,0
Z_score_p14N_Falcon_Churn,0
Z_score_p15N_Falcon_Churn,0
Z_score_p16N_Falcon_Churn,0
Z_score_p17N_Falcon_Churn,0
recent_ptp_Tortoise_ARPEU_inv,0
Z_score_p1S_Tortoise_ARPEU_inv,0
Z_score_p13N_Falcon_Churn,0
Z_score_p2_Tortoise_ARPEU_inv,0
Z_score_p4S_Falcon_Churn,0
recent_std_Falcon_Churn,0
Z_score_p17N_Falcon_Churn_inv,0
Z_score_p15N_Falcon_Churn_inv,0
Z_score_p15S_Tortoise_Leavers,0
Z_score_p14S_Tortoise_Leavers,0
Z_score_p13S_Tortoise_Leavers,0
Z_score_p12S_Tortoise_Leavers,0
Z_score_p11S_Tortoise_Leavers,0
Z_score_p10S_Tortoise_Leavers,0
Z_score_p9S_Tortoise_Leavers,0
Z_score_p8S_Tortoise_Leavers,0
Z_score_p7S_Tortoise_Leavers,0
Z_score_p6S_Tortoise_Leavers,0
Z_score_p5S_Tortoise_Leavers,0
Z_score_p4S_Tortoise_Leavers,0
Z_score_p3S_Tortoise_Leavers,0
Z_score_p1S_Tortoise_Leavers,0
recent_ptp_Tortoise_Leavers,0
Z_score_p4N_Falcon_Migrate,0
Z_score_p5N_Falcon_Migrate,0
Z_score_p6N_Falcon_Migrate,0
Z_score_p7N_Falcon_Migrate,0
Z_score_p8N_Falcon_Migrate,0
Z_score_p9N_Falcon_Migrate,0
Z_score_p1_Tortoise_Leavers,0
Z_score_p10N_Falcon_Migrate,0
Z_score_p12N_Falcon_Migrate,0
Z_score_p13N_Falcon_Migrate,0
Z_score_p14N_Falcon_Migrate,0
Z_score_p15N_Falcon_Migrate,0
Z_score_p16N_Falcon_Migrate,0
Z_score_p17N_Falcon_Migrate,0
Z_score_p11N_Falcon_Migrate,0
Z_score_p2S_Falcon_Churn,0
Z_score_p2_Tortoise_Leavers,0
Z_score_p4_Tortoise_Leavers,0
Z_score_p17N_Tortoise_Leavers,0
Z_score_p16N_Tortoise_Leavers,0
Z_score_p15N_Tortoise_Leavers,0
Z_score_p14N_Tortoise_Leavers,0
Z_score_p13N_Tortoise_Leavers,0
Z_score_p12N_Tortoise_Leavers,0
Z_score_p11N_Tortoise_Leavers,0
Z_score_p10N_Tortoise_Leavers,0
Z_score_p9N_Tortoise_Leavers,0
Z_score_p8N_Tortoise_Leavers,0
Z_score_p7N_Tortoise_Leavers,0
Z_score_p6N_Tortoise_Leavers,0
Z_score_p5N_Tortoise_Leavers,0
Z_score_p4N_Tortoise_Leavers,0
Z_score_p3N_Tortoise_Leavers,0
Z_score_p2N_Tortoise_Leavers,0
Z_score_p1N_Tortoise_Leavers,0
Z_score_p5_Tortoise_Leavers,0
Z_score_p6_Tortoise_Leavers,0
Z_score_p7_Tortoise_Leavers,0
Z_score_p8_Tortoise_Leavers,0
Z_score_p9_Tortoise_Leavers,0
Z_score_p10_Tortoise_Leavers,0
Z_score_p3_Tortoise_Leavers,0
Z_score_p11_Tortoise_Leavers,0
Z_score_p13_Tortoise_Leavers,0
Z_score_p14_Tortoise_Leavers,0
Z_score_p15_Tortoise_Leavers,0
Z_score_p16_Tortoise_Leavers,0
Z_score_p17_Tortoise_Leavers,0
Z_score_p0N_Tortoise_Leavers,0
Z_score_p12_Tortoise_Leavers,0
Z_score_p17N_Tortoise_Revenue_inv,0
Z_score_p3_Tortoise_ARPEU_inv,0
Z_score_p5_Tortoise_ARPEU_inv,0
Z_score_p15S_Tortoise_Revenue_inv,0
Z_score_p14S_Tortoise_Revenue_inv,0
Z_score_p13S_Tortoise_Revenue_inv,0
Z_score_p12S_Tortoise_Revenue_inv,0
Z_score_p11S_Tortoise_Revenue_inv,0
Z_score_p10S_Tortoise_Revenue_inv,0
Z_score_p9S_Tortoise_Revenue_inv,0
Z_score_p8S_Tortoise_Revenue_inv,0
Z_score_p7S_Tortoise_Revenue_inv,0
Z_score_p6S_Tortoise_Revenue_inv,0
Z_score_p5S_Tortoise_Revenue_inv,0
Z_score_p4S_Tortoise_Revenue_inv,0
Z_score_p3S_Tortoise_Revenue_inv,0
Z_score_p2S_Tortoise_Revenue_inv,0
Z_score_p1S_Tortoise_Revenue_inv,0
recent_ptp_Tortoise_Revenue_inv,0
recent_min_Tortoise_Revenue_inv,0
Z_score_p5N_Tortoise_ARPNU_inv,0
Z_score_p6N_Tortoise_ARPNU_inv,0
Z_score_p7N_Tortoise_ARPNU_inv,0
Z_score_p8N_Tortoise_ARPNU_inv,0
Z_score_p9N_Tortoise_ARPNU_inv,0
Z_score_p10N_Tortoise_ARPNU_inv,0
Z_score_p16S_Tortoise_Revenue_inv,0
Z_score_p11N_Tortoise_ARPNU_inv,0
Z_score_p13N_Tortoise_ARPNU_inv,0
Z_score_p14N_Tortoise_ARPNU_inv,0
Z_score_p15N_Tortoise_ARPNU_inv,0
Z_score_p16N_Tortoise_ARPNU_inv,0
Z_score_p17N_Tortoise_ARPNU_inv,0
recent_std_Tortoise_Revenue_inv,0
Z_score_p12N_Tortoise_ARPNU_inv,0
Z_score_p4N_Tortoise_ARPNU_inv,0
Z_score_p17S_Tortoise_Revenue_inv,0
Z_score_p2_Tortoise_Revenue_inv,0
Z_score_p15N_Tortoise_Revenue_inv,0
Z_score_p14N_Tortoise_Revenue_inv,0
Z_score_p13N_Tortoise_Revenue_inv,0
Z_score_p12N_Tortoise_Revenue_inv,0
Z_score_p11N_Tortoise_Revenue_inv,0
Z_score_p10N_Tortoise_Revenue_inv,0
Z_score_p9N_Tortoise_Revenue_inv,0
Z_score_p8N_Tortoise_Revenue_inv,0
Z_score_p7N_Tortoise_Revenue_inv,0
Z_score_p6N_Tortoise_Revenue_inv,0
Z_score_p5N_Tortoise_Revenue_inv,0
Z_score_p4N_Tortoise_Revenue_inv,0
Z_score_p3N_Tortoise_Revenue_inv,0
Z_score_p2N_Tortoise_Revenue_inv,0
Z_score_p1N_Tortoise_Revenue_inv,0
Z_score_p0N_Tortoise_Revenue_inv,0
Z_score_p17_Tortoise_Revenue_inv,0
Z_score_p3_Tortoise_Revenue_inv,0
Z_score_p4_Tortoise_Revenue_inv,0
Z_score_p5_Tortoise_Revenue_inv,0
Z_score_p6_Tortoise_Revenue_inv,0
Z_score_p7_Tortoise_Revenue_inv,0
Z_score_p8_Tortoise_Revenue_inv,0
Z_score_p1_Tortoise_Revenue_inv,0
Z_score_p9_Tortoise_Revenue_inv,0
Z_score_p11_Tortoise_Revenue_inv,0
Z_score_p12_Tortoise_Revenue_inv,0
Z_score_p13_Tortoise_Revenue_inv,0
Z_score_p14_Tortoise_Revenue_inv,0
Z_score_p15_Tortoise_Revenue_inv,0
Z_score_p16_Tortoise_Revenue_inv,0
Z_score_p10_Tortoise_Revenue_inv,0
Z_score_p4_Tortoise_ARPEU_inv,0
Z_score_p3N_Tortoise_ARPNU_inv,0
Z_score_p1N_Tortoise_ARPNU_inv,0
Z_score_p0S_Tortoise_ARPNU_inv,0
recent_std_Tortoise_ARPNU_inv,0
Z_score_p17N_Tortoise_ARPEU_inv,0
Z_score_p16N_Tortoise_ARPEU_inv,0
Z_score_p15N_Tortoise_ARPEU_inv,0
Z_score_p14N_Tortoise_ARPEU_inv,0
Z_score_p13N_Tortoise_ARPEU_inv,0
Z_score_p12N_Tortoise_ARPEU_inv,0
