feature,imp
Z_score_p8S_Tortoise_NetAdds,1.5405006033333333
Z_score_p11S_Tortoise_Gross,1.54381227
Z_score_p9S_Falcon_ARPNU_inv,1.54722905
Z_score_p9S_Tortoise_Migrate,1.54729128
Z_score_p2N_Tortoise_Closing,1.55210781
Z_score_p12S_Tortoise_NetAdds,1.5554500199999999
Z_score_p4S_Falcon_NetAdds,1.56108189
Z_score_p3N_Tortoise_ARPNU,1.57224274
recent_min_Falcon_Gross_inv,1.57315874
Z_score_p2N_Falcon_Gross_inv,1.5813819150000001
Z_score_p0S_Falcon_NetAdds,1.5815884438461536
recent_ptp_Tortoise_NetAdds_inv,1.58280468
Z_score_p12_Falcon_ARPNU_inv,1.58361316
Z_score_p10,1.5847968265833334
Z_score_p9_Tortoise_ARPEU,1.587433455
Z_score_p8N_Falcon_ARPEU,1.588634495
Z_score_p10N_Tortoise_Revenue,1.59721947
Z_score_p3_Falcon_Migrate,1.59735107
Z_score_p6_Falcon_Revenue,1.5998124889999998
Z_score_p3N_Tortoise_ARPEU_inv,1.60663128
Z_score_p1_Tortoise_ARPEU,1.6124078022
Z_score_p8N_Tortoise_ARPEU,1.6155287
Z_score_p8_Tortoise_ARPEU,1.62177658
Z_score_p5_Tortoise_Leavers,1.62280655
Z_score_p6N_Falcon_Revenue,1.6238980683333333
Z_score_p9S_Falcon_Churn_inv,1.6283927
Z_score_p11S_Falcon_Closing,1.63161087
Z_score_p1N_Tortoise_Leavers,1.6360106066666666
Z_score_p5N_Falcon_Gross,1.64565229
Z_score_p2_Tortoise_Revenue,1.64826298
Z_score_p6S_Falcon_NetAdds_inv,1.65204525
Z_score_p4N_Tortoise_Gross_inv,1.65327954
Z_score_p4_Tortoise_Leavers,1.65488338
Z_score_p6S_Tortoise_Migrate_inv,1.65944177
Z_score_p1_Tortoise_ARPEU_inv,1.65998459
Z_score_p8S_Falcon_ARPEU,1.663177371
Z_score_p0N_Falcon_Churn_inv,1.6658490660000003
recent_min_Falcon_Churn_inv,1.6679543250000002
Z_score_p11_Tortoise_Closing_inv,1.6694355
Z_score_p3N_Falcon_Gross_inv,1.67228699
Z_score_p12,1.6768070114285714
Z_score_p0_Falcon_Gross_inv,1.6786010666666666
Z_score_p4_Tortoise_ARPNU_inv,1.67889404
Z_score_p1N_Falcon_Migrate,1.6802739266666666
Z_score_p10N_Falcon_ARPEU,1.68226862
Z_score_p8N_Falcon_NetAdds,1.68586349
Z_score_p5_Tortoise_Gross,1.68877912
Z_score_p1N_Falcon_ARPNU,1.6904543896
Z_score_p0N_Tortoise_Opening,1.6916710533333335
Z_score_p3N_Falcon_Gross,1.69652748
Z_score_p8S_Tortoise_ARPEU,1.6997743458333332
Z_score_p5S_Falcon_Migrate_inv,1.7015151498
Z_score_p7S_Tortoise_ARPNU_inv,1.71938789
Z_score_p9S_Falcon_Revenue,1.72116852
Z_score_p1_Tortoise_ARPNU,1.726052935375
Z_score_p0N_Falcon_NetAdds_inv,1.7404244850000001
Z_score_p7_Falcon_ARPNU_inv,1.74984598
Z_score_p6S_Tortoise_Opening,1.7513482166666667
Z_score_p2N_Falcon_Closing,1.75280762
